Year,Month,System,TotalVolume_ML
2014,1,Maribyrnong,22136
2014,1,Melbourne,1421422
2014,1,Murray,3456195
2014,1,Ovens,35299
2014,1,South Gippsland,9282
2014,1,Thomson/Macalister,122482
2014,1,Werribee,49624
2014,2,,49464
2014,2,Ballarat,44011
2014,2,Bendigo,106617
2014,2,Broken,30753
2014,2,Campaspe,184519
2014,2,Geelong,74603
2014,2,Glenelg/Wimmera,223934
2014,2,Goulburn,2758449
2014,2,Latrobe,230840
2014,2,Loddon,152516
2014,2,Maribyrnong,21400
2014,2,Melbourne,1377801
2014,2,Murray,3219563
2014,2,Ovens,28761
2014,2,South Gippsland,8458
2014,2,Thomson/Macalister,87873
2014,2,Werribee,45040
2014,3,,45988
2014,3,Ballarat,43035
2014,3,Bendigo,101860
2014,3,Broken,28213
2014,3,Campaspe,176409
2014,3,Geelong,71249
2014,3,Glenelg/Wimmera,209500
2014,3,Goulburn,2553495
2014,3,Latrobe,224651
2014,3,Loddon,141504
2014,3,Maribyrnong,20684
2014,3,Melbourne,1338921
2014,3,Murray,3051818
2014,3,Ovens,24677
2014,3,South Gippsland,7894
2014,3,Thomson/Macalister,66687
2014,3,Werribee,42236
2014,4,,40241
2014,4,Ballarat,42138
2014,4,Bendigo,99973
2014,4,Broken,27305
2014,4,Campaspe,175330
2014,4,Geelong,68769
2014,4,Glenelg/Wimmera,203099
2014,4,Goulburn,2512771
2014,4,Latrobe,227883
2014,4,Loddon,133413
2014,4,Maribyrnong,20123
2014,4,Melbourne,1318758
2014,4,Murray,3072720
2014,4,Ovens,22507
2014,4,South Gippsland,7644
2014,4,Thomson/Macalister,72212
2014,4,Werribee,41236
2014,5,,34051
2014,5,Ballarat,41400
2014,5,Bendigo,98535
2014,5,Broken,28549
2014,5,Campaspe,175223
2014,5,Geelong,66857
2014,5,Glenelg/Wimmera,199387
2014,5,Goulburn,2561069
2014,5,Latrobe,229950
2014,5,Loddon,130872
2014,5,Maribyrnong,19628
2014,5,Melbourne,1293418
2014,5,Murray,3218204
2014,5,Ovens,27839
2014,5,South Gippsland,7126
2014,5,Thomson/Macalister,74332
2014,5,Werribee,40188
2014,6,,44659
2014,6,Ballarat,41223
2014,6,Bendigo,99275
2014,6,Broken,33500
2014,6,Campaspe,174735
2014,6,Geelong,68540
2014,6,Glenelg/Wimmera,204630
2014,6,Goulburn,2728875
2014,6,Latrobe,241412
2014,6,Loddon,128748
2014,6,Maribyrnong,19078
2014,6,Melbourne,1320059
2014,6,Murray,3445021
2014,6,Ovens,30482
2014,6,South Gippsland,7522
2014,6,Thomson/Macalister,108020
